LayerIndex,SlitNo,CenterPosition,Beta,PixelNo,PixelValue
1,5,0.000425,4.9999999999999996e-05,15,1
1,6,0.000525,4.9999999999999996e-05,10,1
1,8,0.000725,4.9999999999999996e-05,10,1
1,10,0.0009249999999999999,4.9999999999999996e-05,14,1
1,11,0.0010249999999999999,4.9999999999999996e-05,7,1
1,12,0.001125,4.9999999999999996e-05,1,1
1,16,0.0015249999999999999,4.9999999999999996e-05,3,1
1,18,0.001725,4.9999999999999996e-05,11,0
1,21,0.002025,4.9999999999999996e-05,12,1
1,22,0.0021249999999999997,4.9999999999999996e-05,2,1
1,24,0.002325,4.9999999999999996e-05,5,0
1,25,0.002425,4.9999999999999996e-05,13,1
1,28,0.002725,4.9999999999999996e-05,6,1
1,32,0.0031249999999999997,4.9999999999999996e-05,14,1
1,34,0.003325,4.9999999999999996e-05,13,1
1,35,0.0034249999999999997,4.9999999999999996e-05,1,1
1,36,0.003525,4.9999999999999996e-05,9,1
1,38,0.003725,4.9999999999999996e-05,9,1
1,40,0.003925,4.9999999999999996e-05,5,0
1,43,0.004225,4.9999999999999996e-05,6,1
1,45,0.004425,4.9999999999999996e-05,8,0
1,46,0.0045249999999999995,4.9999999999999996e-05,7,1
1,48,0.004725,4.9999999999999996e-05,15,1
1,49,0.004824999999999999,4.9999999999999996e-05,12,1
1,50,0.004925,4.9999999999999996e-05,2,1
1,51,0.005025,4.9999999999999996e-05,4,1
1,52,0.005124999999999999,4.9999999999999996e-05,8,0
1,58,0.005725,4.9999999999999996e-05,11,0
1,59,0.0058249999999999994,4.9999999999999996e-05,4,1
1,60,0.005925,4.9999999999999996e-05,3,1
2,3,0.000225,4.9999999999999996e-05,14,1
2,6,0.000525,4.9999999999999996e-05,1,1
2,8,0.000725,4.9999999999999996e-05,6,1
2,10,0.0009249999999999999,4.9999999999999996e-05,2,1
2,12,0.001125,4.9999999999999996e-05,1,1
2,15,0.0014249999999999998,4.9999999999999996e-05,14,1
2,16,0.0015249999999999999,4.9999999999999996e-05,11,0
2,17,0.001625,4.9999999999999996e-05,12,1
2,18,0.001725,4.9999999999999996e-05,8,0
2,19,0.001825,4.9999999999999996e-05,9,1
2,20,0.0019249999999999998,4.9999999999999996e-05,3,1
2,22,0.0021249999999999997,4.9999999999999996e-05,3,1
2,25,0.002425,4.9999999999999996e-05,4,1
2,26,0.002525,4.9999999999999996e-05,4,1
2,29,0.002825,4.9999999999999996e-05,5,0
2,33,0.003225,4.9999999999999996e-05,12,1
2,36,0.003525,4.9999999999999996e-05,10,1
2,39,0.003825,4.9999999999999996e-05,9,1
2,40,0.003925,4.9999999999999996e-05,13,1
2,41,0.004025,4.9999999999999996e-05,11,0
2,42,0.004125,4.9999999999999996e-05,13,1
2,43,0.004225,4.9999999999999996e-05,7,1
2,44,0.004325,4.9999999999999996e-05,7,1
2,49,0.004824999999999999,4.9999999999999996e-05,10,1
2,50,0.004925,4.9999999999999996e-05,15,1
2,52,0.005124999999999999,4.9999999999999996e-05,8,0
2,55,0.005425,4.9999999999999996e-05,6,1
2,56,0.0055249999999999995,4.9999999999999996e-05,2,1
2,58,0.005725,4.9999999999999996e-05,5,0
2,60,0.005925,4.9999999999999996e-05,15,1
